game_id,home_id,away_id,home_abbr,away_abbr,home_points,away_points
0041500125,1610612748,1610612766,MIA,CHA,88,90
0021701068,1610612748,1610612752,MIA,NYK,119,98
0021200993,1610612755,1610612757,PHI,POR,101,100
0041400204,1610612764,1610612737,WAS,ATL,101,106
0041300172,1610612745,1610612757,HOU,POR,105,112
0041300147,1610612759,1610612742,SAS,DAL,119,96
0021800606,1610612746,1610612766,LAC,CHA,128,109
0021400543,1610612764,1610612741,WAS,CHI,102,86
0021500006,1610612751,1610612741,BKN,CHI,100,115
0041400311,1610612744,1610612745,GSW,HOU,110,106